timestamp,train_idx,quantity,degree,nn,n_epochs,loss,k,mape_list,mae_list,mape_avg,mae_avg
2021-12-23 19:41:06.860257,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49
 50 51 53 54 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 79 80 81 84 86 87 88 89 90 91 92 93 96 97 98 99]",pp1,4,"[12, 6]",10,mae,10,"[14.331176846576543, 3.40770548520133, 2.3601389821257377, 2.734957537617903, 3.2925374045864335, 4.967637931131367, 4.020486507378626, 10.815731848024276, 5.448098476778482, 6.382967137120427, 4.594822028663778, 11.246339321013844, 1.300646349070048, 6.991371145210115, 9.401114444551363, 4.735948584614399, 1.6876627182345116, 3.155530479222661, 6.910786228216605, 10.233631842993612, 6.544383762207476, 16.290127688608255, 4.520383030807421, 11.276948642508794, 14.453252605461303, 2.3427301176805986, 4.4664491384287155, 1.7126720749068964, 4.606139181892056, 10.853703856830572, 23.224633014172387, 12.559336345837519, 13.010042781911944, 21.252090736504822, 4.190853210799777, 4.935945500456029, 9.823053296571093, 12.861246487606149, 1.4415996753620561, 22.309136186994476, 3.8118240793103464, 22.92288095974978, 17.20056098263652, 16.172509098413133, 10.12233455185099, 9.307146139282354, 5.944593250552643, 6.7755845342488605, 7.429875753905438, 14.17782612279157, 5.1659906968844265, 4.257961997299219, 2.5771059181284968, 5.089009976614529, 2.565175671787385, 18.621782041857312, 11.304401257874659, 2.896970848813982, 9.359541325551028, 5.974964548917729, 17.496735208540755, 14.657184886752809, 6.773757357716664, 12.372997972201325, 7.002083853945843, 26.339161445326166, 21.013714599740148, 9.344889611534814, 3.5420558456373987, 5.079384469761738, 3.610354396414523, 3.5840610408181086, 7.11194906212844, 7.8914537723179885, 15.585517013025175, 6.440623714759577, 13.773936366033727, 3.790810895898115, 10.04269081403176, 9.41406469936579, 20.562487745843118, 2.0709556899740877, 25.61688289029839, 5.8793008349501665, 15.76712914854431, 6.723777034864541, 7.722522372214851, 6.03224678363034, 8.336909917308818, 2.001311829041085]","[2649.789763556826, 674.6109988724106, 553.4341221635983, 563.8961070914629, 759.9882231786975, 1170.3038501696226, 804.4457395577437, 2319.3881923071676, 1074.1371387764834, 1368.325452664197, 969.2532904195272, 2403.2594560191915, 270.32507982410294, 1592.784146344213, 1821.0828893015146, 934.0550397860853, 313.050639250906, 717.3753363248065, 1453.5727273207472, 2225.0089299449405, 1292.8379558788822, 3364.929478552026, 938.9531055254147, 2185.5585811238643, 2631.861941842385, 495.027286545857, 972.1553576190065, 353.2951669083356, 1038.778517809029, 2174.483812603057, 4536.02932095673, 2556.1357332192038, 2955.2200424590656, 3967.3049461008736, 834.7653740474344, 951.4620174602328, 1979.1245127859613, 2696.2777778446834, 316.96509968224547, 5008.655871444475, 798.0227886879999, 5398.128623717248, 3267.8997686210832, 3556.1847726763367, 2198.5231880251226, 1898.9496986698018, 1277.6387431070696, 1482.601595496041, 1549.5490408582616, 2862.266662315427, 1182.3096540691843, 915.4093361488025, 559.82445791969, 1098.760661061002, 534.2252028421643, 3632.473328172084, 2563.012244171765, 566.7669710555267, 1653.1971967762192, 1291.4450515995197, 3303.576980174365, 2631.135369202547, 1361.5676783149775, 2368.5944342031107, 1559.608327637817, 5068.71171285236, 3833.755526534222, 1954.857829777866, 738.1116351932335, 1036.6740646215906, 774.0955830696846, 739.4266682078708, 1579.9729050457295, 1714.550212373344, 3202.9974273865478, 1257.6697930684747, 2968.5682067602434, 824.0148668701211, 2464.028942512789, 1963.8466931258113, 4593.981529168112, 455.55556384677055, 4983.779308764357, 1222.6837822767652, 3711.4579713728035, 1515.4909176491258, 1555.6073774084496, 1128.074931367585, 1973.9601940106818, 418.8000599089474]",8.977255662921905,1856.4472722442188
2021-12-23 19:42:35.050184,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49
 50 51 53 54 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 79 80 81 84 86 87 88 89 90 91 92 93 96 97 98 99]",pp1,5,"[12, 6]",10,mae,10,"[27.456637417699564, 14.983467066400676, 13.117902744242075, 4.208229654639642, 8.807917853757674, 17.358244684646916, 1.9447298226139758, 1.7224060434234394, 4.552386627588416, 5.1357337373367224, 4.974061247682531, 18.94985275720472, 8.091539909998785, 12.227072998441276, 10.317304516386212, 28.60336125967706, 24.98385787126134, 5.563523465539659, 2.8560931102476332, 5.121497112741981, 4.310597976092604, 23.00467361405293, 19.47642042686238, 15.662095983469868, 4.565800549392915, 9.937144408967981, 8.076614880829636, 11.569618802627446, 7.1187680070792, 6.01464177072569, 11.28492916407721, 9.280454842335951, 10.102243888533453, 11.0132283154146, 10.495745318775366, 7.478278950676671, 4.200376487831485, 3.9093303426366814, 18.91411521814181, 8.605405981437563, 6.2774241802068556, 22.4101013465923, 14.180239201481937, 14.292192493995385, 9.159705313979625, 13.084662517239053, 2.944602348492161, 12.650676219580772, 7.696038690245416, 16.018331035840053, 9.566014051877007, 4.251610001104355, 2.103256655185382, 7.123589428983725, 1.743225493162788, 18.208357339932345, 8.454662617135519, 7.560636643810828, 9.399402522770657, 7.40807208498632, 20.62607104911813, 6.930660987147867, 12.669278802264037, 4.351637531310643, 13.740559363340093, 1.663451324593371, 19.77097003348507, 14.307269945030427, 10.897831708861455, 4.3854769694293525, 12.21044153110683, 5.864676399404191, 2.784438085934449, 6.8510251934182795, 10.602798181990792, 7.837717044427506, 3.4318878690342918, 8.26821216225191, 4.465237665612031, 4.519908509859407, 23.497599856978372, 11.850176666394644, 10.014795159758922, 19.827000367411866, 6.746244206796613, 5.59284970112656, 26.890274186187607, 13.557022638541028, 9.002117743361225, 7.821058355986583]","[5044.152524204159, 2943.330869447975, 3098.1607422363577, 867.9187971831329, 2028.7847971491572, 4100.002145398376, 390.50189625623506, 370.11681609485726, 895.9858165157046, 1097.156200215299, 1047.183581148417, 4043.4668285392636, 1681.9439065704819, 2784.488111652001, 2008.2795936694804, 5606.285124263446, 4625.835008280937, 1270.077815217608, 601.2655646760419, 1109.426943435048, 854.0528796540635, 4752.479672599979, 4044.551180758538, 3038.1698881286334, 831.7063103660059, 2097.4266423563936, 1743.3657931434234, 2382.8955654801834, 1598.0985580594825, 1208.227234992115, 2212.132839539618, 1890.9497745989563, 2281.378356985965, 2068.6419261086467, 2084.435886863236, 1443.4733991800572, 847.4637838198767, 818.8521512281377, 4184.593992106464, 1931.1347017364824, 1314.0525750252784, 5285.839430832368, 2678.0410015668185, 3145.84653834798, 1986.7325062630348, 2669.09619570065, 634.3626031723128, 2778.5080728137623, 1603.6114517305903, 3232.0078482757544, 2182.758172072044, 914.2735942915868, 455.37781510188705, 1536.7180411051224, 363.07594951812644, 3549.7851325215142, 1914.2912359445543, 1475.685486610846, 1642.0795635034144, 1604.5459823398362, 3890.9996334854613, 1242.7023351048801, 2552.5616327556763, 832.913871580007, 3057.5382895625416, 323.4106570131047, 3589.592197002837, 2994.651112068222, 2273.5779069635055, 895.634294357024, 2620.4867841168916, 1209.7633949235315, 614.8968056237165, 1492.5377232434305, 2178.966526076026, 1531.9590258794876, 740.1721080219328, 1795.6139686511801, 1108.5664866495147, 942.7108462697591, 5251.743259995036, 2608.1435584545925, 1944.7137424081043, 4123.497751922686, 1594.232269558847, 1253.3406426999616, 5407.653132212219, 2526.220962578625, 2152.7711146884653, 1635.9941431245375]",10.35008660286953,2147.5849888176613
2021-12-23 19:43:52.975104,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19 20 21 22 23 24
 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49
 50 51 53 54 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 79 80 81 84 86 87 88 89 90 91 92 93 96 97 98 99]",pp1,6,"[12, 6]",10,mae,10,"[13.573262544441574, 12.339955892277068, 3.6605612528560103, 2.2573824034375933, 6.861095477022373, 3.2981921677651695, 6.6458458831440606, 10.895475087507437, 6.493198438591138, 8.304131204842454, 9.033725776597505, 6.9401180854749365, 14.40877077130093, 11.468788442214832, 5.0446618656315865, 14.703280982052402, 13.23535050876639, 21.177721556030736, 10.19891132582421, 2.2874875770370644, 1.0146486830570056, 13.276408258964018, 11.03682583170189, 9.522649289609832, 3.609699094459028, 1.4043244249482183, 6.231553961447978, 7.1897089865611346, 6.473503976653768, 19.311961397021683, 8.18608012616821, 11.820836866117693, 5.844299434559453, 23.045815464341814, 4.056498543205048, 10.309827006491709, 6.05015646703489, 3.2851990169080114, 5.9651376413107995, 11.338113801140553, 10.211919422376216, 11.73144239711674, 5.702498124126973, 7.5387611994595645, 8.304023928104435, 3.2743830255241217, 8.859615528684294, 2.03806760182754, 4.222176877647745, 8.111323721779746, 7.000536088257432, 2.192754578469808, 2.455713391169102, 3.2719363437296116, 4.206658920460588, 9.262272653665391, 12.066464702407183, 9.082551588219062, 27.316870675772904, 6.1798950887586015, 15.400684627245543, 20.51837026987528, 12.441380245455145, 10.477557414327087, 5.168588830005935, 6.948267404228341, 8.07789225824095, 5.917511492543623, 3.6490733952513366, 13.419902293974989, 2.1254738629478314, 7.399897906087071, 10.329541044806119, 16.42813315033968, 4.64138844635243, 8.423048789724225, 5.628037077689278, 6.585389599208646, 11.245599439750109, 7.1520649587582215, 10.317065502959375, 16.890990320430998, 6.276528706665302, 6.3294728168169545, 18.01113668978961, 8.06079163246994, 10.28496370070544, 16.334333294688573, 6.652753106694073, 18.75764683644452]","[2514.630590167876, 2430.177386765585, 862.6114138468691, 465.26588867258357, 1582.663268964209, 775.6774939458761, 1334.3699363704459, 2340.82187913748, 1272.4106436243017, 1781.8970561386443, 1905.905121185525, 1483.115655406718, 2994.9821063267054, 2625.7760001321326, 979.7441654894299, 2876.8630432551854, 2446.994286306181, 4841.282706231809, 2144.2116110331453, 495.74002156161527, 200.8425976396142, 2742.742942514564, 2291.779190507721, 1843.0440019139571, 662.9694769751528, 296.546062104921, 1355.3335780704213, 1480.1008066049556, 1450.1970849893278, 3869.1434414125665, 1605.3256897255928, 2406.610654755028, 1326.7425718800341, 4326.220234584425, 807.0627842520255, 1991.7878367351386, 1220.336958983701, 687.7909367564016, 1324.3225613182815, 2548.969655258961, 2138.8245002044605, 2774.605220378996, 1080.354096135179, 1656.9095752496905, 1811.5935120847053, 667.9194303649059, 1909.4011665659548, 449.457912919618, 879.9639503056264, 1636.4069205045907, 1604.581589894449, 471.80516344802294, 536.0636639962702, 705.8229957469143, 876.4886682262783, 1802.9533135346132, 2744.7246388029193, 1770.4494646544929, 4771.418937821885, 1336.9178587323156, 2893.7853838043548, 3674.327517678959, 2500.537798802504, 2002.3357904641587, 1150.932225001498, 1334.2317457852068, 1471.670018414138, 1237.7692624593199, 760.107133469234, 2740.6620408705576, 456.0589960087168, 1526.354633276291, 2278.1318192352433, 3580.2600380337567, 954.0049101944462, 1639.3917493834797, 1212.1881641931427, 1429.2054164159445, 2742.6189196061496, 1491.9713413248535, 2300.367225484918, 3733.0694934007242, 1216.588652146379, 1316.4183422077488, 4282.498347881118, 1813.6390159974922, 2066.2404960732847, 3038.2210523724125, 1584.7965219364391, 3929.392230897202]",8.941383516517243,1850.8605355992966
